Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Michael Burton (37127888),Michael Burton,37127888,RB/FLEX,4000,DEN@CIN 12/28/2024 04:30PM ET,DEN,1.93
RB,Trayveon Williams (37127890),Trayveon Williams,37127890,RB/FLEX,4000,DEN@CIN 12/28/2024 04:30PM ET,CIN,0
RB,Zack Moss (37127892),Zack Moss,37127892,RB/FLEX,4000,DEN@CIN 12/28/2024 04:30PM ET,CIN,10.36
RB,Chris Evans (37127894),Chris Evans,37127894,RB/FLEX,4000,DEN@CIN 12/28/2024 04:30PM ET,CIN,0
RB,Kendall Milton (37127896),Kendall Milton,37127896,RB/FLEX,4000,DEN@CIN 12/28/2024 04:30PM ET,CIN,0
RB,Gary Brightwell (37127898),Gary Brightwell,37127898,RB/FLEX,4000,DEN@CIN 12/28/2024 04:30PM ET,CIN,0
QB,Clayton Tune (37127825),Clayton Tune,37127825,QB,4000,ARI@LAR 12/28/2024 08:10PM ET,ARI,-0.26
QB,Anthony Brown Jr. (37127826),Anthony Brown Jr.,37127826,QB,4000,ARI@LAR 12/28/2024 08:10PM ET,ARI,0
QB,Stetson Bennett (37127827),Stetson Bennett,37127827,QB,4000,ARI@LAR 12/28/2024 08:10PM ET,LAR,0
RB,Emari Demercado (37127876),Emari Demercado,37127876,RB/FLEX,4000,ARI@LAR 12/28/2024 08:10PM ET,ARI,4.21
RB,Tony Jones Jr. (37127878),Tony Jones Jr.,37127878,RB/FLEX,4000,ARI@LAR 12/28/2024 08:10PM ET,ARI,0
RB,Ronnie Rivers (37127880),Ronnie Rivers,37127880,RB/FLEX,4000,ARI@LAR 12/28/2024 08:10PM ET,LAR,0.41
RB,Cody Schrader (37127882),Cody Schrader,37127882,RB/FLEX,4000,ARI@LAR 12/28/2024 08:10PM ET,LAR,0
QB,Easton Stick (37127823),Easton Stick,37127823,QB,4000,LAC@NE 12/28/2024 01:00PM ET,LAC,0
QB,Joe Milton III (37127824),Joe Milton III,37127824,QB,4000,LAC@NE 12/28/2024 01:00PM ET,NE,0
RB,John Kelly Jr. (37127864),John Kelly Jr.,37127864,RB/FLEX,4000,LAC@NE 12/28/2024 01:00PM ET,LAC,0
RB,Scott Matlock (37127866),Scott Matlock,37127866,RB/FLEX,4000,LAC@NE 12/28/2024 01:00PM ET,LAC,0.83
RB,Jaret Patterson (37127868),Jaret Patterson,37127868,RB/FLEX,4000,LAC@NE 12/28/2024 01:00PM ET,LAC,0
RB,JaMycal Hasty (37127870),JaMycal Hasty,37127870,RB/FLEX,4000,LAC@NE 12/28/2024 01:00PM ET,NE,2.06
RB,Terrell Jennings (37127872),Terrell Jennings,37127872,RB/FLEX,4000,LAC@NE 12/28/2024 01:00PM ET,NE,0.65
RB,Kevin Harris (37127874),Kevin Harris,37127874,RB/FLEX,4000,LAC@NE 12/28/2024 01:00PM ET,NE,0
WR,Kayshon Boutte (37127924),Kayshon Boutte,37127924,WR/FLEX,4000,LAC@NE 12/28/2024 01:00PM ET,NE,6.95
WR,Marvin Mims Jr. (37127926),Marvin Mims Jr.,37127926,WR/FLEX,3900,DEN@CIN 12/28/2024 04:30PM ET,DEN,5.35
WR,Andrei Iosivas (37127928),Andrei Iosivas,37127928,WR/FLEX,3800,DEN@CIN 12/28/2024 04:30PM ET,CIN,7.19
WR,Demarcus Robinson (37127930),Demarcus Robinson,37127930,WR/FLEX,3700,ARI@LAR 12/28/2024 08:10PM ET,LAR,7.55
TE,Will Dissly (37128010),Will Dissly,37128010,TE/FLEX,3700,LAC@NE 12/28/2024 01:00PM ET,LAC,6.98
WR,Tutu Atwell (37127932),Tutu Atwell,37127932,WR/FLEX,3500,ARI@LAR 12/28/2024 08:10PM ET,LAR,6.01
WR,Troy Franklin (37127934),Troy Franklin,37127934,WR/FLEX,3400,DEN@CIN 12/28/2024 04:30PM ET,DEN,4.5
TE,Stone Smartt (37128012),Stone Smartt,37128012,TE/FLEX,3400,LAC@NE 12/28/2024 01:00PM ET,LAC,2.42
DST,Chargers  (37128074),Chargers ,37128074,DST,3400,LAC@NE 12/28/2024 01:00PM ET,LAC,7.67
TE,Tyler Higbee (37128014),Tyler Higbee,37128014,TE/FLEX,3300,ARI@LAR 12/28/2024 08:10PM ET,LAR,8.1
WR,Kendrick Bourne (37127936),Kendrick Bourne,37127936,WR/FLEX,3300,LAC@NE 12/28/2024 01:00PM ET,NE,5.77
