Lock,ID,Name,Pos,Team,Opp,Salary,STDV,Value,Vegas,Floor,Ceiling,RnkGPP,RnkCash,Boom,Bust,2X,2.5X,3X,3.5X,4X,4.5X,5X,5.5X,Optimal,Lev,Hero Own,Hero Proj.,User Own,User Proj.,Agg Proj.,Rdm %,Min. Exp.,Max. Exp.,Build Exp.
No,36948834,Hunter Henry,TE,NE,@ ARI,4300,6.62,2.81,20.25,7.74,16.4,2,2,10.63,51.52,70.28,57.88,45.34,32.68,21.98,13.88,7.68,4.26,13.38,3.81,9.57,12.07,9.57,12.07,12.07,0,0,100,
No,36948192,Hassan Haskins,RB,LAC,vs TB,4200,2.22,0.27,23.75,0,2.59,45,55,1,100,0.12,0,0,0,0,0,0,0,0.01,-0.12,0.13,1.13,0.13,1.13,1.13,0,0,100,
No,36948200,Jamaal Williams,RB,NO,vs WAS,4200,4.33,0.39,18,0,4.68,36,54,1,99.21,5.72,2.1,0.66,0.18,0.02,0,0,0,0.01,-0.08,0.09,1.64,0.09,1.64,1.64,0,0,100,
No,36948448,Devaughn Vele,WR,DEN,vs IND,4200,5.52,2.16,24,5.29,12.82,50,36,2.29,70.77,54.44,38.56,25.44,14.82,7.66,3.66,1.5,0.68,1.92,-0.97,2.89,9.06,2.89,9.06,9.06,0,0,100,
No,36948450,Darius Slayton,WR,NYG,vs BAL,4100,5.55,1.55,13,2.46,9.89,115,68,1,83.88,36.64,23.4,13.04,7.18,2.92,1.06,0.4,0.14,0.01,-0.6,0.61,6.35,0.61,6.35,6.35,0,0,100,
No,36948452,Parker Washington,WR,JAX,vs NYJ,4100,5.27,1.81,19,4.01,11.07,27,48,1,79.98,44.6,31.08,19.02,9.88,4.8,2.38,0.82,0.36,3.84,3.11,0.73,7.41,0.73,7.41,7.41,0,0,100,
No,36948838,Mark Andrews,TE,BAL,@ NYG,4100,7.16,2.23,29.5,4.26,14.06,8,12,6.77,64.65,55.52,43.1,32.62,23.82,16.44,10.32,6.32,3.3,8.32,3.39,4.93,9.15,4.93,9.15,9.15,0,0,100,
No,36948250,JaMycal Hasty,RB,NE,@ ARI,4000,3.5,0.39,20.25,0,3.9,42,56,1,99.79,3.22,0.9,0.14,0.02,0,0,0,0,0.01,-0.07,0.08,1.55,0.08,1.55,1.55,0,0,100,
No,36948282,Chris Rodriguez Jr.,RB,WAS,@ NO,4000,3.49,0.57,25.5,0,4.75,38,42,1,99.62,6.16,1.6,0.4,0.04,0,0,0,0,0.01,-0.21,0.22,2.29,0.22,2.29,2.29,0,0,100,
No,36948316,Samaje Perine,RB,KC,@ CLE,4000,4.54,0.78,22.75,0,6.18,39,48,1,96.92,13.92,6.06,2.06,0.84,0.24,0.06,0,0,0.01,-0.17,0.18,3.11,0.18,3.11,3.11,0,0,100,
No,36948334,Mike Boone,RB,CAR,vs DAL,4000,3.69,0.76,22.75,0.64,5.59,67,57,1,98.98,8.66,2.82,0.76,0.14,0.02,0,0,0,0.01,-0.09,0.1,3.05,0.1,3.05,3.05,0,0,100,
No,36948340,Hunter Luepke,RB,DAL,@ CAR,4000,2.91,0.5,19.75,0,3.96,57,36,1,99.95,1.92,0.26,0,0,0,0,0,0,0.01,-2.48,2.49,2,2.49,2,2.00,0,0,100,
No,36948344,Dare Ogunbowale,RB,HOU,vs MIA,4000,4.72,0.48,24.25,0,5.12,35,50,1,97.98,10.44,4.4,1.82,0.58,0.18,0.02,0.02,0,0.01,-0.11,0.12,1.92,0.12,1.92,1.92,0,0,100,
No,36948346,Cordarrelle Patterson,RB,PIT,@ PHI,4000,4.89,0.8,18.75,0,6.61,49,53,1,95.74,15.7,8.34,3.36,1.52,0.54,0.2,0.06,0,0.01,-0.17,0.18,3.19,0.18,3.19,3.19,0,0,100,
No,36948456,Adonai Mitchell,WR,IND,@ DEN,4000,4.2,0.98,19.5,0.97,6.81,140,89,1,96.6,16.18,7.38,2.78,0.88,0.24,0,0,0,0.01,-0.24,0.25,3.94,0.25,3.94,3.94,0,0,100,
No,36948458,Marvin Mims Jr.,WR,DEN,vs IND,4000,5.86,1.84,24,3.43,11.33,63,50,1.85,76.45,47.06,33.66,22.5,13.68,7.24,3.44,1.4,0.6,1.28,-1.58,2.86,7.38,2.86,7.38,7.38,0,0,100,
No,36948460,Sterling Shepard,WR,TB,@ LAC,4000,5.36,2.25,21.25,5.3,12.61,43,31,2.41,68.51,58.18,43.08,28.48,17.34,9.8,4.58,1.76,0.6,2.56,0,2.56,9.02,2.56,9.02,9.02,0,0,100,
No,36948840,Zach Ertz,TE,WAS,@ NO,4000,6.18,2.72,25.5,6.85,15.05,3,4,7.92,54.63,67.2,54.38,42.72,30.56,20.04,12.96,7.58,3.76,11.52,3.81,7.71,10.88,7.71,10.88,10.88,0,0,100,
No,36948462,David Moore,WR,CAR,vs DAL,3900,4.94,1.58,22.75,2.75,9.26,40,53,1,85.33,36.96,24.44,13.46,6.68,2.84,1.08,0.34,0.12,2.56,1.13,1.43,6.17,1.43,6.17,6.17,0,0,100,
No,36948464,Jalen Tolbert,WR,DAL,@ CAR,3900,4.73,1.24,19.75,1.72,8.06,53,61,1,91.57,26.66,14.5,7.24,2.98,0.92,0.28,0.06,0,0.64,0.29,0.35,4.85,0.35,4.85,4.85,0,0,100,
No,36948466,John Metchie III,WR,HOU,vs MIA,3900,4.62,1.32,24.25,1.95,8.25,123,74,1,91.02,28.54,16.48,8.1,3.44,1.32,0.34,0.12,0.04,0.01,-0.52,0.53,5.16,0.53,5.16,5.16,0,0,100,
No,36948842,Pat Freiermuth,TE,PIT,@ PHI,3900,5.62,2.05,18.75,4.17,12,12,16,2.14,72.63,50.8,38.04,25.72,16.14,9.24,4.64,2.16,0.82,2.56,0.7,1.86,7.98,1.86,7.98,7.98,0,0,100,
No,36949084,Ravens ,DST,BAL,@ NYG,3900,4.78,2.65,29.5,7.25,13.65,6,1,7.07,41.97,69.14,54.1,37.98,24.2,13.16,6.94,2.94,1.14,6.4,-5.64,12.04,10.33,12.04,10.33,10.33,0,0,100,
No,36948468,Mack Hollins,WR,BUF,@ DET,3800,4.93,0.92,26,0.22,7.01,155,90,1,93.87,21.42,11.5,5.56,2.06,0.66,0.2,0.12,0.02,0.01,-0.35,0.36,3.51,0.36,3.51,3.51,0,0,100,
No,36948470,Andrei Iosivas,WR,CIN,@ TEN,3800,5.19,1.47,26,1.93,8.98,119,70,1,85.67,35.12,22.24,12.98,6.74,3.02,1.16,0.5,0.18,0.01,-0.62,0.63,5.59,0.63,5.59,5.59,0,0,100,
No,36948472,Mike Williams,WR,PIT,@ PHI,3800,6.34,1.76,18.75,2.55,11.1,35,46,2.5,75.78,45,33.5,23.46,14.78,8.84,4.68,2.5,1.26,3.2,1.25,1.95,6.69,1.95,6.69,6.69,0,0,100,
No,36948844,Jake Ferguson,TE,DAL,@ CAR,3800,6.42,2.64,19.75,5.8,14.48,4,6,7.86,56.66,64.84,53.92,41.46,31.16,20.86,13.08,7.94,4.22,9.6,1.87,7.73,10.04,7.73,10.04,10.04,0,0,100,
No,36948474,JuJu Smith-Schuster,WR,KC,@ CLE,3700,5.47,1.01,22.75,0.02,7.35,55,64,1,90.38,24,15,8.6,4.46,2.14,0.98,0.32,0.08,0.64,0.33,0.31,3.75,0.31,3.75,3.75,0,0,100,
No,36948476,Jalen Coker,WR,CAR,vs DAL,3700,5.07,1.53,22.75,2.39,9.2,114,67,1,84.79,36.9,23.74,13.96,7.26,3.02,1.28,0.42,0.12,0.01,-0.55,0.56,5.67,0.56,5.67,5.67,0,0,100,
No,36948478,Jalen McMillan,WR,TB,@ LAC,3700,5.86,2.22,21.25,4.4,12.16,42,30,3.44,67.56,56.2,43.16,31.16,20.4,12.88,7.1,3.74,1.7,3.14,-0.06,3.2,8.21,3.2,8.21,8.21,0,0,100,
No,36949085,Chiefs ,DST,KC,@ CLE,3700,4.95,2.38,22.75,5.3,12.06,9,10,5.16,50.5,60.2,46.28,32.38,20.4,11.56,5.84,2.68,0.78,4.48,0.33,4.15,8.82,4.15,8.82,8.82,0,0,100,
No,36948480,Kendrick Bourne,WR,NE,@ ARI,3600,5.72,2.07,20.25,3.74,11.29,24,39,2.53,71.05,51.78,39.64,27.74,18.48,11.28,6.38,3.46,1.82,2.66,0.71,1.95,7.47,1.95,7.47,7.47,0,0,100,
No,36948482,Curtis Samuel,WR,BUF,@ DET,3600,5.01,1.03,26,0.38,7.03,146,88,1,91.71,23.86,13.38,7.08,3.3,1.2,0.46,0.12,0.02,0.01,-0.34,0.35,3.7,0.35,3.7,3.70,0,0,100,
No,36948484,KaVontae Turpin,WR,DAL,@ CAR,3600,4.62,1.3,19.75,1.62,7.82,127,79,1,90.18,29.22,17.12,9.28,4.12,1.76,0.62,0.2,0.08,0.01,-0.32,0.33,4.67,0.33,4.67,4.67,0,0,100,
No,36948486,Calvin Austin III,WR,PIT,@ PHI,3600,5.59,1.95,18.75,3.42,10.88,59,43,1.87,74.21,49.16,36.22,24.58,15.3,8.5,4.76,1.96,0.9,1.92,-0.7,2.62,7.01,2.62,7.01,7.01,0,0,100,
No,36948848,Isaiah Likely,TE,BAL,@ NYG,3600,6.11,1.9,29.5,2.77,11.08,13,19,2.69,73.21,48.1,36.72,25.92,17.62,11.58,7.32,3.96,1.98,3.2,0.98,2.22,6.86,2.22,6.86,6.86,0,0,100,
No,36948488,Kayshon Boutte,WR,NE,@ ARI,3500,4.96,2.41,20.25,5.28,11.8,39,20,2.24,65.32,61.08,47.6,34.2,22.52,13.24,6.88,3.22,1.42,3.84,-0.81,4.65,8.45,4.65,8.45,8.45,0,0,100,
No,36948490,Cedrick Wilson Jr.,WR,NO,vs WAS,3500,4.12,0.77,18,0.01,5.49,133,91,1,96.96,14.48,6.84,2.8,1,0.28,0.04,0.02,0,0.01,-0.14,0.15,2.68,0.15,2.68,2.68,0,0,100,
No,36948492,Van Jefferson,WR,PIT,@ PHI,3500,4.23,1.28,18.75,1.58,7.32,129,77,1,91.86,27.52,16.02,7.92,3.64,1.32,0.36,0.1,0,0.01,-0.35,0.36,4.49,0.36,4.49,4.49,0,0,100,
No,36948850,Mike Gesicki,TE,CIN,@ TEN,3500,5.29,1.65,26,2.15,9.44,84,27,1,80.99,40.82,28.62,18.9,10.98,5.92,3.08,1.26,0.46,0.01,-1.53,1.54,5.76,1.54,5.76,5.76,0,0,100,
No,36948852,Grant Calcaterra,TE,PHI,vs PIT,3500,4.4,1.91,24.25,3.76,9.72,24,21,1,79.99,46.42,31.2,18.74,10.22,4.7,2.1,0.86,0.16,1.28,-0.56,1.84,6.7,1.84,6.7,6.70,0,0,100,
No,36949086,Bengals ,DST,CIN,@ TEN,3500,5.5,2.08,26,3.62,11.01,12,13,4.89,58.01,51.84,38.98,27.34,18.34,11.26,6,3.2,1.66,3.84,1.99,1.85,7.29,1.85,7.29,7.29,0,0,100,
No,36948494,Tyler Boyd,WR,TEN,vs CIN,3400,5.65,1.9,20.5,2.8,10.41,36,51,1.93,74.29,47.62,35.22,25.6,17.46,10.68,6.54,3.16,1.8,2.4,1.15,1.25,6.47,1.25,6.47,6.47,0,0,100,
No,36948496,Justin Watson,WR,KC,@ CLE,3400,3.27,0.73,22.75,0.37,4.74,153,95,1,99.05,9.38,3.2,0.68,0.08,0,0,0,0,0.01,-0.13,0.14,2.48,0.14,2.48,2.48,0,0,100,
No,36948500,Troy Franklin,WR,DEN,vs IND,3400,4.53,1.48,24,2.15,8.23,47,57,1,87.14,34.22,21.34,12.26,6.12,2.92,1.26,0.36,0,1.28,0.87,0.41,5.03,0.41,5.03,5.03,0,0,100,
No,36948854,Dawson Knox,TE,BUF,@ DET,3400,4.63,0.92,26,0.1,6.29,65,33,1,93.56,21.4,11.84,5.42,2.18,1.06,0.42,0.16,0.06,0.01,-0.54,0.55,3.13,0.55,3.13,3.13,0,0,100,
No,36948856,Juwan Johnson,TE,NO,vs WAS,3400,6.29,2.68,18,5,13.36,7,7,7.51,56.62,64.14,53.9,43.1,33.08,23.72,16.56,11.04,7.16,8.32,1.41,6.91,9.11,6.91,9.11,9.11,0,0,100,
No,36949087,Commanders ,DST,WAS,@ NO,3400,5.5,2.52,25.5,4.79,12.48,2,3,8.36,47.08,61.9,50.22,37.66,26.44,17.84,11.36,6.46,3.48,9.7,1.54,8.16,8.56,8.16,8.56,8.56,0,0,100,
No,36948502,DJ Chark,WR,LAC,vs TB,3300,3.95,0.78,23.75,0,5.36,70,73,1,96.85,15.34,7.68,3.3,1.2,0.24,0.02,0,0,0.01,-0.49,0.5,2.58,0.5,2.58,2.58,0,0,100,
No,36948504,Josh Reynolds,WR,JAX,vs NYJ,3300,4.71,0.95,19,0,6.34,68,76,1,92.55,23.02,13.54,7.76,3.94,1.72,0.82,0.28,0.2,0.01,-0.18,0.19,3.13,0.19,3.13,3.13,0,0,100,
No,36948506,Jahan Dotson,WR,PHI,vs PIT,3300,5.01,0.79,24.25,0,6.04,54,69,1,92.78,21.02,12.72,7.26,3.74,1.66,0.58,0.26,0.12,1.28,1.1,0.18,2.61,0.18,2.61,2.61,0,0,100,
No,36948508,Jonathan Mingo,WR,DAL,@ CAR,3300,2.71,0.44,19.75,0,3.29,74,83,1,99.91,2.82,0.64,0.02,0,0,0,0,0,0.01,-0.25,0.26,1.46,0.26,1.46,1.46,0,0,100,
No,36948510,Nelson Agholor,WR,BAL,@ NYG,3300,4.54,0.94,29.5,0,6.17,61,71,1,93.39,21.3,12.48,6.64,2.86,1.1,0.36,0.14,0.06,0.64,0.44,0.2,3.09,0.2,3.09,3.09,0,0,100,
No,36948858,Luke Schoonmaker,TE,DAL,@ CAR,3300,3.63,0.76,19.75,0.04,4.95,73,42,1,97.92,12.6,5.64,2.06,0.52,0.22,0.08,0,0,0.01,-0.37,0.38,2.52,0.38,2.52,2.52,0,0,100,
No,36948860,Dalton Schultz,TE,HOU,vs MIA,3300,6.55,2.64,24.25,4.29,13.06,5,9,8.01,57.29,61.84,51.36,41.68,32.54,23.98,16.46,11.28,6.98,8.96,3.18,5.78,8.72,5.78,8.72,8.72,0,0,100,
No,36949088,Texans ,DST,HOU,vs MIA,3300,5.65,1.92,24.25,2.53,9.94,14,17,4.51,60.97,48.66,36.7,26.12,17.74,11.04,6,3.08,1.52,3.2,1.74,1.46,6.35,1.46,6.35,6.35,0,0,100,
No,36948512,Tylan Wallace,WR,BAL,@ NYG,3200,2.92,0.66,29.5,0.16,3.99,137,92,1,99.52,7.1,1.98,0.46,0.12,0.04,0,0,0,0.01,-0.12,0.13,2.12,0.13,2.12,2.12,0,0,100,
No,36948514,Kevin Austin Jr.,WR,NO,vs WAS,3200,4.08,2.05,18,3.92,9.32,64,45,1,77.75,51.62,36.18,22.48,12.42,5.7,2.68,1.12,0.38,0.64,-1.26,1.9,6.56,1.9,6.56,6.56,0,0,100,
No,36948516,Olamide Zaccheaus,WR,WAS,@ NO,3200,4.82,1.85,25.5,2.86,9.44,28,44,1,78.31,46.12,33.74,23.02,14.36,8.32,4.5,2.28,0.92,3.2,2.24,0.96,5.9,0.96,5.9,5.90,0,0,100,
No,36948518,Trey Palmer,WR,TB,@ LAC,3200,2.38,0.4,21.25,0,3,75,84,1,99.98,1.72,0.14,0.04,0.02,0,0,0,0,0.01,-0.29,0.3,1.29,0.3,1.29,1.29,0,0,100,
No,36948520,Michael Woods II,WR,CLE,vs KC,3200,4.01,1.89,18.75,3.37,8.81,44,54,1,81.68,47.94,32.28,19.86,10.42,4.84,1.88,0.66,0.18,1.28,0.41,0.87,6.05,0.87,6.05,6.05,0,0,100,
No,36948862,Austin Hooper,TE,NE,@ ARI,3200,4.56,1.89,20.25,2.99,9.14,81,26,1,78.74,46.86,33.18,22,13.54,7.12,3.82,1.6,0.54,0.01,-1.12,1.13,6.04,1.13,6.04,6.04,0,0,100,
No,36948864,Noah Gray,TE,KC,@ CLE,3200,4.71,2.05,22.75,3.44,9.71,25,20,1,74.66,52.98,39.48,26.6,16.5,9.26,4.84,2.3,1.12,0.64,-1.48,2.12,6.55,2.12,6.55,6.55,0,0,100,
No,36949089,Broncos ,DST,DEN,vs IND,3200,6.21,2.35,24,3.38,11.89,3,8,9.45,51.01,57.38,47.3,37,27.2,19.52,13.72,8.56,5.36,10.02,4.05,5.97,7.52,5.97,7.52,7.52,0,0,100,
No,36948522,Luke McCaffrey,WR,WAS,@ NO,3100,3.94,1.41,25.5,1.73,6.97,118,72,1,90.07,32.6,19.62,10.54,5.22,2.18,0.72,0.26,0.02,0.01,-0.37,0.38,4.38,0.38,4.38,4.38,0,0,100,
No,36948524,Dyami Brown,WR,WAS,@ NO,3100,5.24,2.21,25.5,3.34,10.3,19,29,2.16,69,53.96,43.24,31.32,21.68,14.16,8.8,5.16,3.02,3.84,0.11,3.73,6.84,3.73,6.84,6.84,0,0,100,
No,36948526,Jalin Hyatt,WR,NYG,vs BAL,3100,3,0.53,13,0,3.7,69,87,1,99.52,7.16,2.3,0.52,0.06,0.02,0,0,0,0.01,-0.09,0.1,1.66,0.1,1.66,1.66,0,0,100,
No,36948530,Greg Dortch,WR,ARI,vs NE,3100,4.84,1.07,26.25,0.07,6.6,52,63,1,89.72,27.64,17.44,10.18,5.92,3.14,1.32,0.6,0.14,0.64,0.31,0.33,3.32,0.33,3.32,3.32,0,0,100,
No,36948532,Ja'Lynn Polk,WR,NE,@ ARI,3100,3.41,0.79,20.25,0.17,4.87,150,96,1,97.98,13.48,6.08,2.14,0.7,0.1,0,0,0,0.01,-0.1,0.11,2.45,0.11,2.45,2.45,0,0,100,
No,36948866,Ja'Tavion Sanders,TE,CAR,vs DAL,3100,4.8,1.41,22.75,1.4,7.63,18,23,1,85.36,34.66,23.64,15,9.3,5.12,2.54,1.06,0.44,1.28,0.55,0.73,4.39,0.73,4.39,4.39,0,0,100,
No,36949090,Eagles ,DST,PHI,vs PIT,3100,5.72,2.63,24.25,4.23,11.95,1,2,10.13,45,63.04,51.98,41.14,31.18,22.5,14.96,9.54,5.74,11.54,7.17,4.37,8.16,4.37,8.16,8.16,0,0,100,
No,36948538,Dante Pettis,WR,NO,vs WAS,3000,4,1.04,18,0.39,5.94,152,78,1,93.54,24.38,14.7,7.72,3.5,1.54,0.56,0.18,0.06,0.01,-1.36,1.37,3.12,1.37,3.12,3.12,0,0,100,
No,36948540,Lil'Jordan Humphrey,WR,DEN,vs IND,3000,4.52,1.43,24,1.32,7.31,122,75,1,86.13,35.9,24.4,15.1,8.7,4.42,2,0.86,0.4,0.01,-0.55,0.56,4.3,0.56,4.3,4.30,0,0,100,
No,36948542,Ben Skowronek,WR,PIT,@ PHI,3000,2.61,0.45,18.75,0,3.15,71,86,1,99.87,3.96,0.7,0.06,0,0,0,0,0,0.01,-0.14,0.15,1.35,0.15,1.35,1.35,0,0,100,
No,36948544,Scotty Miller,WR,PIT,@ PHI,3000,3.57,0.92,18.75,0.42,5.13,62,65,1,96.42,17.98,9.32,3.98,1.48,0.46,0.1,0.02,0,0.64,0.51,0.13,2.77,0.13,2.77,2.77,0,0,100,
No,36948554,Johnny Wilson,WR,PHI,vs PIT,3000,1.9,0.37,24.25,0,2.4,81,93,1,100,0.56,0.06,0.02,0,0,0,0,0,0.01,-0.24,0.25,1.11,0.25,1.11,1.11,0,0,100,
No,36948582,Derius Davis,WR,LAC,vs TB,3000,3.12,1.21,23.75,1.49,5.7,124,82,1,96.26,22.52,10.72,4.12,1.46,0.22,0.04,0.02,0,0.01,-0.19,0.2,3.64,0.2,3.64,3.64,0,0,100,
No,36948624,Zay Jones,WR,ARI,vs NE,3000,4.17,0.56,26.25,0,4.65,72,80,1,96.43,15.52,8.66,4.52,1.8,0.54,0.16,0.06,0,0.01,-0.27,0.28,1.68,0.28,1.68,1.68,0,0,100,
No,36948708,Devin Duvernay,WR,JAX,vs NYJ,3000,4.44,1.42,19,1.23,7.38,121,81,1,86.71,35.7,23.9,14.56,8.1,3.96,1.56,0.7,0.18,0.01,-0.21,0.22,4.26,0.22,4.26,4.26,0,0,100,
No,36948742,Malik Washington,WR,MIA,@ HOU,3000,4.03,1.23,21.25,0.92,6.43,51,62,1,91.38,28.5,17.14,9.36,4.82,2.1,0.8,0.3,0.06,0.64,0.37,0.27,3.7,0.27,3.7,3.70,0,0,100,
No,36948760,Robert Woods,WR,HOU,vs MIA,3000,3.01,0.68,24.25,0.01,4.08,143,85,1,99.15,8.92,3.32,1.18,0.32,0.04,0.02,0,0,0.01,-0.67,0.68,2.03,0.68,2.03,2.03,0,0,100,
No,36948868,Tommy Tremble,TE,CAR,vs DAL,3000,3.21,1.07,22.75,1.08,5.38,88,36,1,96.89,19.06,8.96,3.82,1.24,0.4,0.1,0,0,0.01,-0.36,0.37,3.2,0.37,3.2,3.20,0,0,100,
No,36948870,Foster Moreau,TE,NO,vs WAS,3000,4.37,1.72,18,2.27,8.06,83,28,1,82.31,43.16,29.44,18.66,10.98,5.98,2.9,1.22,0.44,0.01,-1.45,1.46,5.15,1.46,5.15,5.15,0,0,100,
No,36949091,Cardinals ,DST,ARI,vs NE,3000,5.24,2.45,26.25,3.79,10.78,11,9,6.71,48.83,59.62,48.14,36.84,26.56,18.58,12.04,7,3.7,3.84,-9.21,13.05,7.35,13.05,7.35,7.35,0,0,100,
No,36949092,Jets ,DST,NYJ,@ JAX,3000,5.43,2.52,22,4.02,11.4,7,6,7.96,47.36,59.72,49.22,38.34,28.7,20.5,13.7,8.26,5.12,6.02,1.38,4.64,7.56,4.64,7.56,7.56,0,0,100,
No,36948872,Chig Okonkwo,TE,TEN,vs CIN,2900,4.34,2.1,20.5,3.17,9.04,23,15,1,74.55,52.58,39.72,27.9,17.86,10.5,5.32,2.48,0.9,1.28,-1.97,3.25,6.09,3.25,6.09,6.09,0,0,100,
No,36948874,Brock Wright,TE,DET,vs BUF,2900,2.62,0.68,28.5,0.17,3.64,75,46,1,99.62,7.86,2.1,0.52,0.12,0,0,0,0,0.01,-0.22,0.23,1.97,0.23,1.97,1.97,0,0,100,
No,36949093,Chargers ,DST,LAC,vs TB,2900,5.34,2.36,23.75,3.21,10.54,8,7,6.43,50.85,57.8,46.84,35.96,26.48,18.56,12.34,7.76,4.52,7.68,1.45,6.23,6.85,6.23,6.85,6.85,0,0,100,
No,36949094,Lions ,DST,DET,vs BUF,2900,5.11,1.63,28.5,1.49,8.2,21,23,2.27,66.81,41.48,31.12,21.34,13.92,8.82,5.22,2.96,1.3,1.28,-0.26,1.54,4.74,1.54,4.74,4.74,0,0,100,
No,36948876,Daniel Bellinger,TE,NYG,vs BAL,2800,3.9,1.56,13,1.64,6.93,80,30,1,86.76,38.66,25.72,15.54,8.26,4.2,1.84,0.84,0.3,0.01,-1.03,1.04,4.38,1.04,4.38,4.38,0,0,100,
No,36948878,Tyler Conklin,TE,NYJ,@ JAX,2800,5.09,2.26,22,2.85,9.8,20,14,2.05,68.16,56.74,45.38,34.7,24.66,17.38,11.12,7.1,4,2.56,-0.14,2.7,6.32,2.7,6.32,6.32,0,0,100,
No,36949095,Cowboys ,DST,DAL,@ CAR,2800,5.35,2.04,19.75,2.03,9.46,16,19,4.58,57.57,51.64,40.9,30.82,21.68,14.22,9.02,5.38,3.08,1.92,0.51,1.41,5.7,1.41,5.7,5.70,0,0,100,
No,36949096,Steelers ,DST,PIT,@ PHI,2800,4.95,1.92,18.75,1.97,8.79,17,20,2.96,60.69,49.18,37.68,27.5,19.62,12.68,8.18,4.9,2.5,2.56,1.28,1.28,5.38,1.28,5.38,5.38,0,0,100,
No,36948880,Jordan Akins,TE,CLE,vs KC,2700,4.46,1.93,18.75,2.21,8.24,15,22,1,76.79,48.3,36.28,25.62,17.12,10.22,5.52,3.04,1.42,1.28,0.14,1.14,5.21,1.14,5.21,5.21,0,0,100,
No,36948882,Darnell Washington,TE,PIT,@ PHI,2700,3.18,1.1,18.75,0.78,5.22,68,37,1,95.87,22.34,11.04,5.4,1.98,0.5,0.18,0.06,0,0.01,-0.23,0.24,2.96,0.24,2.96,2.96,0,0,100,
No,36949097,Jaguars ,DST,JAX,vs NYJ,2700,4.75,2.13,19,2.56,8.87,18,15,3.3,56.15,51.86,40.78,30.82,21.32,13.98,8.56,4.68,2.28,1.28,-0.55,1.83,5.74,1.83,5.74,5.74,0,0,100,
No,36949098,Panthers ,DST,CAR,vs DAL,2700,4.63,2.54,22.75,3.82,9.99,5,4,4.97,46.77,62.3,50.94,39.42,29.14,19.92,13.08,7.6,4.18,6.4,0.7,5.7,6.85,5.7,6.85,6.85,0,0,100,
No,36948884,Tanner Hudson,TE,CIN,@ TEN,2600,3.72,1.15,26,0.43,5.4,49,29,1,92.06,28.32,17.62,10.08,5.36,2.44,0.88,0.32,0.12,0.01,-0.3,0.31,3,0.31,3,3.00,0,0,100,
No,36948916,Stone Smartt,TE,LAC,vs TB,2600,4.91,3.09,23.75,4.72,11.32,16,3,4.75,51.65,71.62,62.04,51.58,41.74,31.48,23.06,15.64,10.16,7.3,-1.95,9.25,8.04,9.25,8.04,8.04,0,0,100,
No,36949099,Bills ,DST,BUF,@ DET,2600,5.36,1.58,26,0.42,7.66,15,21,2.95,65.39,41.9,32.74,24.6,16.88,11.32,7.12,4.34,2.32,3.2,1.79,1.41,4.12,1.41,4.12,4.12,0,0,100,
No,36949100,Buccaneers ,DST,TB,@ LAC,2600,4.83,2.03,21.25,2.15,8.62,22,18,3.18,57.84,50.86,39.78,29.1,19.72,12.94,8.3,5.04,2.68,0.01,-2.42,2.43,5.28,2.43,5.28,5.28,0,0,100,
No,36948892,Adam Trautman,TE,DEN,vs IND,2500,2.88,0.82,24,0.13,3.97,71,38,1,98.07,15.16,7.2,2.84,0.9,0.22,0.04,0.04,0.02,0.01,-0.39,0.4,2.04,0.4,2.04,2.04,0,0,100,
No,36948894,MyCole Pruitt,TE,PIT,@ PHI,2500,2.17,0.48,18.75,0,2.68,58,71,1,99.92,4.34,1.28,0.18,0.02,0,0,0,0,0.01,-0.05,0.06,1.2,0.06,1.2,1.20,0,0,100,
No,36948914,Tucker Fisk,TE,LAC,vs TB,2500,2.78,1.09,23.75,0.73,4.49,70,40,1,97.12,21.12,10.08,4.22,1.56,0.54,0.12,0.04,0.02,0.01,-0.22,0.23,2.72,0.23,2.72,2.72,0,0,100,
No,36948932,Mo Alie-Cox,TE,IND,@ DEN,2500,2.31,0.49,19.5,0,2.79,60,63,1,99.83,4.88,1.32,0.32,0.02,0,0,0,0,0.01,-0.11,0.12,1.23,0.12,1.23,1.23,0,0,100,
No,36948934,Kylen Granson,TE,IND,@ DEN,2500,3.61,1.07,19.5,0.36,5.03,62,39,1,92.98,26.3,16.04,8.74,4.52,1.9,0.74,0.28,0.1,0.01,-0.23,0.24,2.68,0.24,2.68,2.68,0,0,100,
No,36948936,Drew Ogletree,TE,IND,@ DEN,2500,1.96,0.63,19.5,0.32,2.82,74,48,1,99.95,4.28,0.9,0.1,0.02,0,0,0,0,0.01,-0.1,0.11,1.58,0.11,1.58,1.58,0,0,100,
No,36948938,Will Mallory,TE,IND,@ DEN,2500,2.05,0.44,19.5,0,2.51,45,82,1,99.96,3.1,0.74,0.1,0.02,0,0,0,0,0.01,0.01,0,1.11,0,1.11,1.11,0,0,100,
No,36948944,Lucas Krull,TE,DEN,vs IND,2500,3.57,1.19,24,0.57,5.19,19,24,1,92.08,28.6,18.06,10.46,5.18,2.56,0.88,0.44,0.16,0.64,0.24,0.4,2.97,0.4,2.97,2.97,0,0,100,
No,36948946,Nate Adkins,TE,DEN,vs IND,2500,1.76,0.48,24,0.02,2.38,82,45,1,99.99,1.6,0.22,0.02,0,0,0,0,0,0.01,-0.32,0.33,1.2,0.33,1.2,1.20,0,0,100,
