Lock,ID,Name,Pos,Team,Opp,Salary,STDV,Value,Vegas,Floor,Ceiling,RnkGPP,RnkCash,Boom,Bust,2X,2.5X,3X,3.5X,4X,4.5X,5X,5.5X,Optimal,Lev,Hero Own,Hero Proj.,User Own,User Proj.,Agg Proj.,Rdm %,Min. Exp.,Max. Exp.,Build Exp.
No,36948019,Russell Wilson,QB,PIT,@ PHI,5700,7.67,2.46,18.75,9.03,19.41,43,24,2.45,65.71,62.54,48.16,33.6,21.86,12.54,6.52,3.04,1.22,0.01,-0.78,0.79,14,0.79,14,14.00,0,0,100,
No,36948128,Tyrone Tracy Jr.,RB,NYG,vs BAL,5700,7.66,2.25,13,7.64,18.16,8,17,7.84,64.49,57.68,43.02,28.36,17.18,9.58,4.24,1.78,0.68,7.04,3.33,3.71,12.83,3.71,12.83,12.83,0,0,100,
No,36948388,Jaylen Waddle,WR,MIA,@ HOU,5700,8.46,2.36,21.25,7.97,19.58,3,12,11.29,60.45,60.26,47.08,32.96,21.48,12.98,7.44,3.78,1.92,10.24,1.09,9.15,13.44,9.15,13.44,13.44,0,0,100,
No,36948820,Travis Kelce,TE,KC,@ CLE,5700,8.08,2.38,22.75,8.18,18.93,22,11,10.58,60.24,60.68,46.74,33.28,21.12,12.04,6.38,3.08,1.28,1.78,-2.67,4.45,13.58,4.45,13.58,13.58,0,0,100,
No,36948020,Drake Maye,QB,NE,@ ARI,5600,8.36,3.25,20.25,12.53,23.65,2,4,10.19,43.46,79.94,70.06,56.8,42.62,30.4,20.22,11.6,6.44,7.04,1.73,5.31,18.18,5.31,18.18,18.18,0,0,100,
No,36948130,Travis Etienne Jr.,RB,JAX,vs NYJ,5600,6.11,1.72,19,5.48,13.65,33,28,1.21,82.79,41.36,25.16,12.54,4.94,1.82,0.4,0.06,0,0.64,-0.22,0.86,9.66,0.86,9.66,9.66,0,0,100,
No,36948390,Jameson Williams,WR,DET,vs BUF,5600,7.39,2.33,28.5,8.22,17.99,5,15,8.04,62.57,59.26,44.18,29.36,17.96,9.98,4.28,1.9,0.74,8.96,1.23,7.73,13.07,7.73,13.07,13.07,0,0,100,
No,36948021,Jameis Winston,QB,CLE,vs KC,5500,9.18,2.95,18.75,9.94,22.53,17,15,9.02,51.3,72.34,61.78,50.14,38.2,27.48,18.74,11.88,6.74,3.2,-1.62,4.82,16.2,4.82,16.2,16.20,0,0,100,
No,36948138,Nick Chubb,RB,CLE,vs KC,5500,7.33,1.63,18.75,4.01,13.75,20,27,2.6,80.25,40.48,27.18,15.54,8.12,3.76,1.54,0.56,0.2,2.66,1.85,0.81,8.97,0.81,8.97,8.97,0,0,100,
No,36948392,Marvin Harrison Jr.,WR,ARI,vs NE,5500,8.32,2.5,26.25,8.43,19.64,25,7,12.81,56.9,63.54,49.42,36.7,24.84,16,8.86,4.86,2.32,9.6,-2.31,11.91,13.76,11.91,13.76,13.76,0,0,100,
No,36948394,DeVonta Smith,WR,PHI,vs PIT,5500,7.93,2.16,24.25,5.98,17.17,22,35,7.64,66.29,54.04,40.38,28.48,18.06,10.5,5.4,2.42,1,3.2,0.13,3.07,11.87,3.07,11.87,11.87,0,0,100,
No,36948022,Aaron Rodgers,QB,NYJ,@ JAX,5400,7.51,3.03,22,11.25,21.44,3,9,5.75,49.16,76.7,64.2,50.36,36.66,24.1,14.74,7.76,3.54,7.04,3.17,3.87,16.36,3.87,16.36,16.36,0,0,100,
No,36948134,Jaylen Warren,RB,PIT,@ PHI,5400,6.46,1.82,18.75,5.27,14.17,21,24,2.11,78.6,44.26,28.84,16.94,8.6,3.76,1.32,0.42,0.04,1.28,0.12,1.16,9.84,1.16,9.84,9.84,0,0,100,
No,36948136,Braelon Allen,RB,NYJ,@ JAX,5400,5.86,1.28,22,3,10.84,32,31,1,91.57,25.64,13.14,5.6,2,0.66,0.18,0.06,0.02,0.64,-0.05,0.69,6.89,0.69,6.89,6.89,0,0,100,
No,36948396,Adam Thielen,WR,CAR,vs DAL,5400,7.86,2.35,22.75,7.47,18.03,33,14,9.62,61.23,60.8,47.02,32.78,21.4,13.3,6.88,3.4,1.58,9.6,-2.11,11.71,12.72,11.71,12.72,12.72,0,0,100,
No,36948398,Tank Dell,WR,HOU,vs MIA,5400,8.05,2.21,24.25,6.63,17.72,9,24,8.58,64.57,54.04,40.62,28.62,18.12,10.38,5.58,2.62,1.18,7.68,3.18,4.5,11.95,4.5,11.95,11.95,0,0,100,
No,36948822,Jonnu Smith,TE,MIA,@ HOU,5400,7.17,2.29,21.25,7.46,17.23,9,10,6.96,64.16,59.4,43.96,29.86,18.04,9.8,4.58,2.08,0.74,5.38,1.62,3.76,12.36,3.76,12.36,12.36,0,0,100,
No,36948023,Bryce Young,QB,CAR,vs DAL,5300,7.56,3.06,22.75,11.2,21.23,8,10,6.14,48.23,77.38,65.66,52.6,38.82,26.68,16.2,9.36,4.78,4.1,0.02,4.08,16.24,4.08,16.24,16.24,0,0,100,
No,36948140,Gus Edwards,RB,LAC,vs TB,5300,7.23,1.78,23.75,4.45,14.44,30,25,3.3,76.78,43.36,28.76,17.62,10.02,5.32,2.08,0.98,0.26,1.28,-0.25,1.53,9.43,1.53,9.43,9.43,0,0,100,
No,36948142,Jeremy McNichols,RB,WAS,@ NO,5300,4.93,0.96,25.5,1.6,8.5,76,45,1,97.49,13.04,4.68,1.44,0.44,0.06,0.02,0,0,0.01,-0.22,0.23,5.07,0.23,5.07,5.07,0,0,100,
No,36948400,Amari Cooper,WR,BUF,@ DET,5300,8.23,2.13,26,5.85,17,11,27,8.26,66.14,54.54,41.88,30.26,19.24,11.46,6.48,3.42,1.48,7.68,1.82,5.86,11.29,5.86,11.29,11.29,0,0,100,
No,36948402,DeAndre Hopkins,WR,KC,@ CLE,5300,8.03,2.01,22.75,4.94,15.81,13,34,6.6,69.49,49.52,36.42,25.02,15.98,9.5,4.72,2.28,0.88,6.4,2.64,3.76,10.63,3.76,10.63,10.63,0,0,100,
No,36948024,Cooper Rush,QB,DAL,@ CAR,5200,6.91,2.84,19.75,10.11,19.49,21,19,3.16,54.86,73.66,60.7,45.02,30.4,19.24,10.54,5.2,2.04,1.28,-2.05,3.33,14.76,3.33,14.76,14.76,0,0,100,
