QB,RB,RB,WR,WR,WR,TE,FLEX,DST,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Team Stack,Runback,Stack Positions
Drake Maye (37127816),J.K. Dobbins (37127836),Antonio Gibson (37127844),Puka Nacua (37127902),Ladd McConkey (37127906),Marvin Harrison Jr. (37127912),Hunter Henry (37128008),Trey McBride (37128006),Broncos (37128077),49800,127.28,2.1472662693111877e-06,238.63,QB +2 | 2,2,Stack: RB, TE; Runback: RB, WR
Bo Nix (37127813),Kyren Williams (37127832),Jaleel McLaughlin (37127852),Puka Nacua (37127902),Ladd McConkey (37127906),Courtland Sutton (37127910),Mike Gesicki (37128018),Hunter Henry (37128008),Chargers (37128074),50000,128.37,5.115264023255819e-06,262.67,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Bo Nix (37127813),Chase Brown (37127830),Kyren Williams (37127832),Puka Nacua (37127902),Courtland Sutton (37127910),Devaughn Vele (37127922),Colby Parkinson (37128022),Joshua Palmer (37127916),Broncos (37128077),49600,126.16,2.783186019995524e-07,261.68,QB +3 | 1,1,Stack: WR, WR, DST; Runback: RB
Joe Burrow (37127812),Chase Brown (37127830),Kyren Williams (37127832),Tee Higgins (37127904),Marvin Harrison Jr. (37127912),Marvin Mims Jr. (37127926),Trey McBride (37128006),Colby Parkinson (37128022),Cardinals (37128078),49800,127.75,4.828220138759484e-07,267.61,QB +2 | 1,1,Stack: RB, WR; Runback: WR
Kyler Murray (37127814),Chase Brown (37127830),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Puka Nacua (37127902),Zay Jones (37127968),Trey McBride (37128006),Lucas Krull (37128024),Patriots (37128079),50000,126.65,1.1646191497447228e-07,264.4,QB +2 | 1,1,Stack: WR, TE; Runback: WR
Joe Burrow (37127812),Chase Brown (37127830),J.K. Dobbins (37127836),Tee Higgins (37127904),Marvin Harrison Jr. (37127912),Marvin Mims Jr. (37127926),Trey McBride (37128006),Tyler Higbee (37128014),Chargers (37128074),49500,125.89,1.9870311099542837e-06,265.87,QB +2 | 1,1,Stack: RB, WR; Runback: WR
Drake Maye (37127816),Kyren Williams (37127832),J.K. Dobbins (37127836),Tee Higgins (37127904),Marvin Harrison Jr. (37127912),Kayshon Boutte (37127924),Hunter Henry (37128008),Puka Nacua (37127902),Cardinals (37128078),50000,127.11,4.113305134663825e-06,267.15,QB +2 | 1,1,Stack: WR, TE; Runback: RB
Kyler Murray (37127814),Kyren Williams (37127832),Antonio Gibson (37127844),Ladd McConkey (37127906),Cooper Kupp (37127908),Marvin Harrison Jr. (37127912),Trey McBride (37128006),Hunter Henry (37128008),Cardinals (37128078),50000,126.78,1.0155568539394283e-06,234.1,QB +3 | 2,2,Stack: WR, TE, DST; Runback: RB, WR
Bo Nix (37127813),Chase Brown (37127830),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Troy Franklin (37127934),Lucas Krull (37128024),Trey McBride (37128006),Rams (37128075),50000,127.6,3.953826231984722e-07,249.3,QB +2 | 2,2,Stack: WR, TE; Runback: RB, WR
Joe Burrow (37127812),Chase Brown (37127830),Kyren Williams (37127832),Ja'Marr Chase (37127900),Puka Nacua (37127902),Demarcus Robinson (37127930),Nate Adkins (37128054),Colby Parkinson (37128022),Patriots (37128079),50000,126.94,1.2651914493346292e-08,262.16,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Kyler Murray (37127814),Kyren Williams (37127832),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Puka Nacua (37127902),Marvin Harrison Jr. (37127912),Elijah Higgins (37128042),Will Dissly (37128010),Chargers (37128074),49900,127.62,2.6556983039909046e-07,244.87,QB +2 | 2,2,Stack: WR, TE; Runback: RB, WR
Joe Burrow (37127812),Chase Brown (37127830),Kyren Williams (37127832),Ladd McConkey (37127906),DeMario Douglas (37127918),Devaughn Vele (37127922),Mike Gesicki (37128018),Trey McBride (37128006),Bengals (37128076),49600,127.02,1.184295576908877e-06,258.78000000000003,QB +3 | 1,1,Stack: RB, TE, DST; Runback: WR
Bo Nix (37127813),Kyren Williams (37127832),Javonte Williams (37127840),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Devaughn Vele (37127922),Trey McBride (37128006),Colby Parkinson (37128022),Broncos (37128077),49900,126.36,1.470559515057476e-07,226.53,QB +3 | 1,1,Stack: RB, WR, DST; Runback: WR
Joe Burrow (37127812),Kyren Williams (37127832),J.K. Dobbins (37127836),Tee Higgins (37127904),Courtland Sutton (37127910),Kendrick Bourne (37127936),Mike Gesicki (37128018),Trey McBride (37128006),Chargers (37128074),49700,128.11,5.217269042537651e-06,266.85,QB +2 | 1,1,Stack: WR, TE; Runback: WR
Justin Herbert (37127815),Chase Brown (37127830),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Puka Nacua (37127902),DeMario Douglas (37127918),Will Dissly (37128010),Mike Gesicki (37128018),Bengals (37128076),49800,127.77,1.2520066282501364e-06,254.14000000000001,QB +2 | 1,1,Stack: RB, TE; Runback: WR
Bo Nix (37127813),Chase Brown (37127830),Kyren Williams (37127832),Ladd McConkey (37127906),Courtland Sutton (37127910),Lil'Jordan Humphrey (37127988),Will Dissly (37128010),J.K. Dobbins (37127836),Rams (37128075),49900,127.0,4.899060906260482e-07,265.89,QB +2 | 1,1,Stack: WR, WR; Runback: RB
Joe Burrow (37127812),Chase Brown (37127830),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Devaughn Vele (37127922),Andrei Iosivas (37127928),Hunter Henry (37128008),Courtland Sutton (37127910),Rams (37128075),50000,125.81,4.335292284533069e-07,236.16,QB +3 | 2,2,Stack: RB, WR, WR; Runback: WR, FLEX
Drake Maye (37127816),Chase Brown (37127830),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Marvin Harrison Jr. (37127912),Kendrick Bourne (37127936),Will Dissly (37128010),Puka Nacua (37127902),Broncos (37128077),50000,127.29,4.5228138705524833e-07,245.08,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Bo Nix (37127813),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Tee Higgins (37127904),Courtland Sutton (37127910),Adam Trautman (37128020),Kendrick Bourne (37127936),Broncos (37128077),50000,127.06,5.189674977928462e-07,252.44,QB +3 | 2,2,Stack: WR, TE, DST; Runback: WR, WR
Matthew Stafford (37127817),Chase Brown (37127830),Kyren Williams (37127832),Ja'Marr Chase (37127900),Puka Nacua (37127902),Zay Jones (37127968),Tyler Higbee (37128014),Will Dissly (37128010),Broncos (37128077),50000,127.06,6.839500519451901e-08,268.58,QB +3 | 1,1,Stack: RB, WR, TE; Runback: WR
Bo Nix (37127813),Chase Brown (37127830),James Conner (37127834),Ja'Marr Chase (37127900),Courtland Sutton (37127910),Marvin Mims Jr. (37127926),Hunter Henry (37128008),Austin Hooper (37128016),Broncos (37128077),50000,127.65,2.668693305511794e-06,256.96,QB +3 | 2,2,Stack: WR, WR, DST; Runback: RB, WR
Bo Nix (37127813),Kyren Williams (37127832),J.K. Dobbins (37127836),Puka Nacua (37127902),Tee Higgins (37127904),Courtland Sutton (37127910),Adam Trautman (37128020),Kayshon Boutte (37127924),Patriots (37128079),49900,126.18,1.2670830041650076e-06,259.89,QB +2 | 1,1,Stack: WR, TE; Runback: WR
Bo Nix (37127813),Kyren Williams (37127832),Javonte Williams (37127840),Puka Nacua (37127902),Courtland Sutton (37127910),Andrei Iosivas (37127928),Hunter Henry (37128008),J.K. Dobbins (37127836),Broncos (37128077),50000,125.98,3.1062097820650052e-06,256.6,QB +3 | 1,1,Stack: RB, WR, DST; Runback: WR
Bo Nix (37127813),Chase Brown (37127830),Javonte Williams (37127840),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Lil'Jordan Humphrey (37127988),Mike Gesicki (37128018),Trey McBride (37128006),Chargers (37128074),49900,127.4,4.5766126097919275e-07,250.8,QB +2 | 3,3,Stack: RB, WR; Runback: RB, WR, TE
Matthew Stafford (37127817),Kyren Williams (37127832),J.K. Dobbins (37127836),Puka Nacua (37127902),Marvin Harrison Jr. (37127912),Kayshon Boutte (37127924),Hunter Henry (37128008),Cooper Kupp (37127908),Bengals (37128076),49900,125.78,6.617615907463858e-06,265.95,QB +3 | 1,1,Stack: RB, WR, FLEX; Runback: WR
Justin Herbert (37127815),Kyren Williams (37127832),J.K. Dobbins (37127836),Puka Nacua (37127902),Ladd McConkey (37127906),Cooper Kupp (37127908),Austin Hooper (37128016),Mike Gesicki (37128018),Bengals (37128076),49600,125.78,1.8510348299412412e-06,241.19,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Matthew Stafford (37127817),Kyren Williams (37127832),J.K. Dobbins (37127836),Ladd McConkey (37127906),Marvin Harrison Jr. (37127912),Demarcus Robinson (37127930),Trey McBride (37128006),Courtland Sutton (37127910),Bengals (37128076),50000,126.14,9.239523651714048e-07,250.78,QB +2 | 2,2,Stack: RB, WR; Runback: WR, TE
Justin Herbert (37127815),Chase Brown (37127830),Kyren Williams (37127832),Tee Higgins (37127904),Ladd McConkey (37127906),Kendrick Bourne (37127936),Will Dissly (37128010),Marvin Harrison Jr. (37127912),Rams (37128075),49900,126.92,1.5738867107778593e-06,265.90000000000003,QB +2 | 1,1,Stack: WR, TE; Runback: WR
Matthew Stafford (37127817),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Puka Nacua (37127902),Greg Dortch (37127938),Hunter Henry (37128008),Kayshon Boutte (37127924),Rams (37128075),50000,126.18,7.849202768301655e-07,263.05,QB +3 | 1,1,Stack: RB, WR, DST; Runback: WR
Bo Nix (37127813),Chase Brown (37127830),Javonte Williams (37127840),Ja'Marr Chase (37127900),Puka Nacua (37127902),Marvin Harrison Jr. (37127912),Adam Trautman (37128020),Kayshon Boutte (37127924),Patriots (37128079),50000,125.86,6.544096103329222e-07,258.54,QB +2 | 2,2,Stack: RB, TE; Runback: RB, WR
Drake Maye (37127816),Chase Brown (37127830),J.K. Dobbins (37127836),Puka Nacua (37127902),Kayshon Boutte (37127924),Kendrick Bourne (37127936),Trey McBride (37128006),Courtland Sutton (37127910),Bengals (37128076),50000,127.29,2.1274714503951895e-06,264.36,QB +2 | 1,1,Stack: WR, WR; Runback: RB
Bo Nix (37127813),Chase Brown (37127830),Kyren Williams (37127832),Courtland Sutton (37127910),Michael Wilson (37127920),Devaughn Vele (37127922),Trey McBride (37128006),Will Dissly (37128010),Chargers (37128074),49200,126.19,1.3151569772569392e-06,265.33,QB +2 | 1,1,Stack: WR, WR; Runback: RB
Drake Maye (37127816),Chase Brown (37127830),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Courtland Sutton (37127910),Kendrick Bourne (37127936),Austin Hooper (37128016),Tee Higgins (37127904),Patriots (37128079),49700,126.1,1.5606376277762535e-06,259.68,QB +3 | 1,1,Stack: WR, TE, DST; Runback: RB
Joe Burrow (37127812),Chase Brown (37127830),Kyren Williams (37127832),Puka Nacua (37127902),Ladd McConkey (37127906),Devaughn Vele (37127922),Drew Sample (37128062),Tyler Higbee (37128014),Bengals (37128076),49800,125.83,1.4874229664126957e-07,250.08,QB +3 | 1,1,Stack: RB, TE, DST; Runback: WR
Bo Nix (37127813),Chase Brown (37127830),Kyren Williams (37127832),Ja'Marr Chase (37127900),Devaughn Vele (37127922),Marvin Mims Jr. (37127926),Tyler Higbee (37128014),Ladd McConkey (37127906),Patriots (37128079),50000,128.37,3.899989097229964e-07,257.55,QB +2 | 2,2,Stack: WR, WR; Runback: RB, WR
Justin Herbert (37127815),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Kendrick Bourne (37127936),Hunter Henry (37128008),Antonio Gibson (37127844),Broncos (37128077),49700,127.38,1.3925158027830967e-06,249.66,QB +2 | 3,3,Stack: RB, WR; Runback: WR, TE, FLEX
Drake Maye (37127816),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Joshua Palmer (37127916),Kayshon Boutte (37127924),Austin Hooper (37128016),Puka Nacua (37127902),Broncos (37128077),49900,126.55,2.517908371964992e-06,260.14,QB +2 | 2,2,Stack: WR, TE; Runback: RB, WR
Justin Herbert (37127815),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Tee Higgins (37127904),Joshua Palmer (37127916),Hunter Henry (37128008),Mike Gesicki (37128018),Chargers (37128074),49600,127.79,5.8148132860150695e-06,268.73,QB +3 | 1,1,Stack: RB, WR, DST; Runback: TE
Kyler Murray (37127814),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Marvin Harrison Jr. (37127912),Kendrick Bourne (37127936),Trey McBride (37128006),Hunter Henry (37128008),Bengals (37128076),49600,129.62,3.989363579565789e-06,268.52,QB +2 | 1,1,Stack: WR, TE; Runback: RB
Kyler Murray (37127814),Chase Brown (37127830),James Conner (37127834),Puka Nacua (37127902),Courtland Sutton (37127910),Marvin Harrison Jr. (37127912),Hunter Henry (37128008),Colby Parkinson (37128022),Cardinals (37128078),50000,126.26,4.526217971067018e-07,251.52,QB +3 | 2,2,Stack: RB, WR, DST; Runback: WR, FLEX
Bo Nix (37127813),Kyren Williams (37127832),James Conner (37127834),Ja'Marr Chase (37127900),Courtland Sutton (37127910),Troy Franklin (37127934),Hunter Henry (37128008),Mike Gesicki (37128018),Chargers (37128074),49900,128.08,2.0174221258629394e-06,251.82,QB +2 | 2,2,Stack: WR, WR; Runback: WR, FLEX
Justin Herbert (37127815),Chase Brown (37127830),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Joshua Palmer (37127916),Kayshon Boutte (37127924),Trey McBride (37128006),Devaughn Vele (37127922),Chargers (37128074),49800,126.62,2.569012981320249e-06,266.87,QB +3 | 1,1,Stack: RB, WR, DST; Runback: WR
Drake Maye (37127816),J.K. Dobbins (37127836),Antonio Gibson (37127844),Tee Higgins (37127904),Marvin Harrison Jr. (37127912),Kayshon Boutte (37127924),Trey McBride (37128006),Ja'Marr Chase (37127900),Patriots (37128079),49900,125.76,1.5958138482620829e-06,234.44,QB +3 | 1,1,Stack: RB, WR, DST; Runback: RB
Joe Burrow (37127812),Kyren Williams (37127832),James Conner (37127834),Ja'Marr Chase (37127900),Troy Franklin (37127934),Kendrick Bourne (37127936),Mike Gesicki (37128018),Trey McBride (37128006),Chargers (37128074),49900,126.62,7.146433052266626e-07,238.32999999999998,QB +2 | 1,1,Stack: WR, TE; Runback: WR
Matthew Stafford (37127817),Chase Brown (37127830),Kyren Williams (37127832),Puka Nacua (37127902),Joshua Palmer (37127916),DeMario Douglas (37127918),Trey McBride (37128006),Will Dissly (37128010),Patriots (37128079),49800,126.39,1.2874618691507581e-06,264.36,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Joe Burrow (37127812),Chase Brown (37127830),J.K. Dobbins (37127836),Puka Nacua (37127902),Tee Higgins (37127904),Devaughn Vele (37127922),Austin Hooper (37128016),Will Dissly (37128010),Chargers (37128074),49900,126.22,1.5510866790890517e-06,257.01,QB +2 | 1,1,Stack: RB, WR; Runback: WR
Bo Nix (37127813),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Tee Higgins (37127904),Courtland Sutton (37127910),Lucas Krull (37128024),Colby Parkinson (37128022),Chargers (37128074),49800,127.6,2.8031900476316795e-07,253.95,QB +2 | 2,2,Stack: WR, TE; Runback: WR, WR
Joe Burrow (37127812),Chase Brown (37127830),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Ladd McConkey (37127906),DeMario Douglas (37127918),Nate Adkins (37128054),Hunter Henry (37128008),Chargers (37128074),50000,127.34,4.7496269553919523e-07,268.56,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Matthew Stafford (37127817),Kyren Williams (37127832),J.K. Dobbins (37127836),Puka Nacua (37127902),Ladd McConkey (37127906),Demarcus Robinson (37127930),Trey McBride (37128006),Mike Gesicki (37128018),Chargers (37128074),50000,127.81,1.4550948277280166e-06,261.1,QB +3 | 1,1,Stack: RB, WR, WR; Runback: TE
Kyler Murray (37127814),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Marvin Harrison Jr. (37127912),Joshua Palmer (37127916),Trey McBride (37128006),Tyler Higbee (37128014),Bengals (37128076),49800,127.42,7.422766071572145e-07,247.74,QB +2 | 2,2,Stack: WR, TE; Runback: RB, FLEX
Drake Maye (37127816),Kyren Williams (37127832),James Conner (37127834),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Kayshon Boutte (37127924),Hunter Henry (37128008),Will Dissly (37128010),Patriots (37128079),50000,126.65,1.6658396005561854e-06,241.78,QB +3 | 2,2,Stack: WR, TE, DST; Runback: WR, FLEX
Joe Burrow (37127812),Chase Brown (37127830),J.K. Dobbins (37127836),Tee Higgins (37127904),Courtland Sutton (37127910),Devaughn Vele (37127922),Trey McBride (37128006),Elijah Higgins (37128042),Chargers (37128074),50000,126.26,7.562655031695834e-07,262.44,QB +2 | 2,2,Stack: RB, WR; Runback: WR, WR
Matthew Stafford (37127817),Kyren Williams (37127832),James Conner (37127834),Ja'Marr Chase (37127900),Puka Nacua (37127902),Marvin Mims Jr. (37127926),Austin Hooper (37128016),Mike Gesicki (37128018),Broncos (37128077),50000,125.9,1.704715255501119e-06,244.66,QB +2 | 1,1,Stack: RB, WR; Runback: RB
Joe Burrow (37127812),Chase Brown (37127830),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Michael Wilson (37127920),Troy Franklin (37127934),Hunter Henry (37128008),Trey McBride (37128006),Bengals (37128076),50000,127.68,1.556115641990757e-06,260.51,QB +3 | 1,1,Stack: RB, WR, DST; Runback: WR
Drake Maye (37127816),J.K. Dobbins (37127836),Antonio Gibson (37127844),Tee Higgins (37127904),Courtland Sutton (37127910),Marvin Harrison Jr. (37127912),Hunter Henry (37128008),Chase Brown (37127830),Broncos (37128077),49800,125.76,3.844384005876898e-06,268.26,QB +2 | 1,1,Stack: RB, TE; Runback: RB
Justin Herbert (37127815),Kyren Williams (37127832),James Conner (37127834),Ladd McConkey (37127906),Marvin Harrison Jr. (37127912),Joshua Palmer (37127916),Hunter Henry (37128008),Trey McBride (37128006),Cardinals (37128078),50000,125.96,1.08753969847961e-06,232.82,QB +2 | 1,1,Stack: WR, WR; Runback: TE
Kyler Murray (37127814),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Marvin Harrison Jr. (37127912),Devaughn Vele (37127922),Trey McBride (37128006),Will Dissly (37128010),Bengals (37128076),49900,128.51,1.375970519806998e-06,250.6,QB +2 | 1,1,Stack: WR, TE; Runback: RB
Justin Herbert (37127815),Chase Brown (37127830),Kyren Williams (37127832),Tee Higgins (37127904),Ladd McConkey (37127906),DeMario Douglas (37127918),Will Dissly (37128010),Hunter Henry (37128008),Rams (37128075),49900,126.82,1.958842013056794e-06,264.61,QB +2 | 2,2,Stack: WR, TE; Runback: WR, FLEX
Justin Herbert (37127815),Kyren Williams (37127832),J.K. Dobbins (37127836),Puka Nacua (37127902),Ladd McConkey (37127906),Marvin Harrison Jr. (37127912),Austin Hooper (37128016),Hunter Henry (37128008),Rams (37128075),49600,128.14,5.46944563424568e-06,265.03000000000003,QB +2 | 2,2,Stack: RB, WR; Runback: TE, FLEX
Joe Burrow (37127812),Chase Brown (37127830),Kyren Williams (37127832),Tee Higgins (37127904),Courtland Sutton (37127910),DeMario Douglas (37127918),Will Dissly (37128010),Austin Hooper (37128016),Bengals (37128076),49700,125.89,1.2315831777415698e-06,259.09,QB +3 | 1,1,Stack: RB, WR, DST; Runback: WR
Bo Nix (37127813),Chase Brown (37127830),Javonte Williams (37127840),Ladd McConkey (37127906),Courtland Sutton (37127910),Marvin Harrison Jr. (37127912),Trey McBride (37128006),Mike Gesicki (37128018),Rams (37128075),49800,126.71,2.7715298248864355e-06,253.11,QB +2 | 2,2,Stack: RB, WR; Runback: RB, FLEX
Drake Maye (37127816),J.K. Dobbins (37127836),Antonio Gibson (37127844),Ladd McConkey (37127906),Courtland Sutton (37127910),Marvin Harrison Jr. (37127912),Hunter Henry (37128008),Chase Brown (37127830),Rams (37128075),49900,126.04,2.0543445164598073e-06,256.11,QB +2 | 2,2,Stack: RB, TE; Runback: RB, WR
Drake Maye (37127816),Kyren Williams (37127832),Antonio Gibson (37127844),Ladd McConkey (37127906),Marvin Harrison Jr. (37127912),Kayshon Boutte (37127924),Hunter Henry (37128008),Ja'Marr Chase (37127900),Broncos (37128077),49700,127.61,2.911676279220693e-06,257.98,QB +3 | 1,1,Stack: RB, WR, TE; Runback: WR
Drake Maye (37127816),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Kayshon Boutte (37127924),Austin Hooper (37128016),Trey McBride (37128006),Patriots (37128079),49900,129.5,4.4161292584425705e-06,264.38,QB +3 | 2,2,Stack: WR, TE, DST; Runback: RB, WR
Joe Burrow (37127812),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Marvin Mims Jr. (37127926),Mike Gesicki (37128018),Hunter Henry (37128008),Rams (37128075),49900,128.78,4.221653201867416e-06,260.31,QB +2 | 1,1,Stack: WR, TE; Runback: WR
Kyler Murray (37127814),Chase Brown (37127830),Kyren Williams (37127832),Ja'Marr Chase (37127900),Cooper Kupp (37127908),Marvin Harrison Jr. (37127912),Elijah Higgins (37128042),Will Dissly (37128010),Cardinals (37128078),50000,127.15,2.986243452162639e-07,262.94,QB +3 | 2,2,Stack: WR, TE, DST; Runback: RB, WR
Justin Herbert (37127815),James Conner (37127834),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Kayshon Boutte (37127924),Trey McBride (37128006),Mike Gesicki (37128018),Cardinals (37128078),50000,126.19,1.3671717853154324e-06,225.53,QB +2 | 1,1,Stack: RB, WR; Runback: WR
Bo Nix (37127813),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Courtland Sutton (37127910),Lil'Jordan Humphrey (37127988),Trey McBride (37128006),Austin Hooper (37128016),Chargers (37128074),50000,130.46,9.705606164779019e-07,263.49,QB +2 | 1,1,Stack: WR, WR; Runback: WR
Bo Nix (37127813),Kyren Williams (37127832),J.K. Dobbins (37127836),Puka Nacua (37127902),Courtland Sutton (37127910),Troy Franklin (37127934),Mike Gesicki (37128018),Trey McBride (37128006),Chargers (37128074),49900,130.04,3.905476206867411e-06,268.51,QB +2 | 1,1,Stack: WR, WR; Runback: TE
Kyler Murray (37127814),Kyren Williams (37127832),James Conner (37127834),Ja'Marr Chase (37127900),Kayshon Boutte (37127924),Kendrick Bourne (37127936),Trey McBride (37128006),Hunter Henry (37128008),Broncos (37128077),49800,127.1,3.436967574455467e-06,257.96,QB +2 | 1,1,Stack: RB, TE; Runback: RB
Joe Burrow (37127812),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Courtland Sutton (37127910),Andrei Iosivas (37127928),Austin Hooper (37128016),Joshua Palmer (37127916),Chargers (37128074),50000,127.24,2.2152767896962104e-06,255.76999999999998,QB +2 | 1,1,Stack: WR, WR; Runback: WR
Drake Maye (37127816),Kyren Williams (37127832),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Marvin Harrison Jr. (37127912),Hunter Henry (37128008),Kayshon Boutte (37127924),Bengals (37128076),49900,127.74,1.4700083796488735e-06,246.28,QB +3 | 1,1,Stack: RB, TE, FLEX; Runback: WR
Bo Nix (37127813),Chase Brown (37127830),J.K. Dobbins (37127836),Puka Nacua (37127902),Courtland Sutton (37127910),Devaughn Vele (37127922),Hunter Henry (37128008),Michael Wilson (37127920),Chargers (37128074),49800,126.54,2.9244071914415268e-06,267.96999999999997,QB +2 | 1,1,Stack: WR, WR; Runback: RB
Bo Nix (37127813),Kyren Williams (37127832),J.K. Dobbins (37127836),Tee Higgins (37127904),Courtland Sutton (37127910),Marvin Mims Jr. (37127926),Mike Gesicki (37128018),Ladd McConkey (37127906),Chargers (37128074),49700,126.9,5.1151349812125054e-06,259.8,QB +2 | 2,2,Stack: WR, WR; Runback: WR, TE
Bo Nix (37127813),Kyren Williams (37127832),Jaleel McLaughlin (37127852),Ja'Marr Chase (37127900),Puka Nacua (37127902),Marvin Mims Jr. (37127926),Mike Gesicki (37128018),J.K. Dobbins (37127836),Patriots (37128079),50000,126.3,1.941550418348817e-06,251.85,QB +2 | 2,2,Stack: RB, WR; Runback: WR, TE
Bo Nix (37127813),Chase Brown (37127830),Kyren Williams (37127832),Courtland Sutton (37127910),Marvin Harrison Jr. (37127912),Devaughn Vele (37127922),Will Dissly (37128010),Ladd McConkey (37127906),Cardinals (37128078),49800,128.12,9.135714426590258e-07,261.68,QB +2 | 1,1,Stack: WR, WR; Runback: RB
Justin Herbert (37127815),James Conner (37127834),J.K. Dobbins (37127836),Puka Nacua (37127902),Ladd McConkey (37127906),Marvin Harrison Jr. (37127912),Hunter Henry (37128008),Mike Gesicki (37128018),Chargers (37128074),49600,125.84,5.487921156425027e-06,245.61,QB +3 | 1,1,Stack: RB, WR, DST; Runback: TE
Drake Maye (37127816),Kyren Williams (37127832),J.K. Dobbins (37127836),Ladd McConkey (37127906),Courtland Sutton (37127910),Kendrick Bourne (37127936),Hunter Henry (37128008),Puka Nacua (37127902),Patriots (37128079),49900,127.82,2.726350541203147e-06,260.08,QB +3 | 2,2,Stack: WR, TE, DST; Runback: RB, WR
Matthew Stafford (37127817),Kyren Williams (37127832),Javonte Williams (37127840),Ja'Marr Chase (37127900),Puka Nacua (37127902),Marvin Harrison Jr. (37127912),Adam Trautman (37128020),Hunter Henry (37128008),Broncos (37128077),50000,125.85,8.633607057394076e-07,258.25,QB +2 | 1,1,Stack: RB, WR; Runback: WR
Bo Nix (37127813),Chase Brown (37127830),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Puka Nacua (37127902),Troy Franklin (37127934),Lucas Krull (37128024),J.K. Dobbins (37127836),Broncos (37128077),50000,126.06,2.2281895540916938e-07,246.7,QB +3 | 2,2,Stack: WR, TE, DST; Runback: RB, WR
Justin Herbert (37127815),Kyren Williams (37127832),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Kendrick Bourne (37127936),Will Dissly (37128010),Courtland Sutton (37127910),Bengals (37128076),49900,126.62,2.2975154928531223e-07,218.94,QB +2 | 2,2,Stack: WR, TE; Runback: RB, WR
Justin Herbert (37127815),Chase Brown (37127830),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Ladd McConkey (37127906),DeMario Douglas (37127918),Hunter Henry (37128008),Demarcus Robinson (37127930),Chargers (37128074),49900,126.5,9.107566475450228e-07,262.43,QB +3 | 2,2,Stack: RB, WR, DST; Runback: WR, TE
Joe Burrow (37127812),Chase Brown (37127830),Kyren Williams (37127832),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Troy Franklin (37127934),Adam Trautman (37128020),Austin Hooper (37128016),Bengals (37128076),49700,126.86,2.1115200366240107e-07,258.14,QB +3 | 2,2,Stack: RB, WR, DST; Runback: WR, TE
Kyler Murray (37127814),Kyren Williams (37127832),James Conner (37127834),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Marvin Harrison Jr. (37127912),Austin Hooper (37128016),Mike Gesicki (37128018),Cardinals (37128078),50000,127.22,1.3092049341237884e-06,239.88,QB +3 | 1,1,Stack: RB, WR, DST; Runback: RB
