QB,RB,RB,WR,WR,WR,TE,FLEX,DST,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Team Stack,Runback,Stack Positions
Justin Herbert (37127815),Kyren Williams (37127832),J.K. Dobbins (37127836),Puka Nacua (37127902),Ladd McConkey (37127906),Kayshon Boutte (37127924),Elijah Higgins (37128042),Tee Higgins (37127904),Broncos (37128077),50000,125.88,1.4348445678742646e-06,262.18,QB +2 | 1,1,Stack: RB, WR; Runback: WR
Matthew Stafford (37127817),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Puka Nacua (37127902),Marvin Harrison Jr. (37127912),Tyler Higbee (37128014),Austin Hooper (37128016),Broncos (37128077),49900,128.72,1.8571378629715693e-06,267.14,QB +3 | 1,1,Stack: RB, WR, TE; Runback: WR
Justin Herbert (37127815),Kyren Williams (37127832),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Kayshon Boutte (37127924),Stone Smartt (37128012),Trey McBride (37128006),Broncos (37128077),50000,126.13,1.0459455590574424e-06,243.95,QB +2 | 2,2,Stack: WR, TE; Runback: RB, WR
Joe Burrow (37127812),Kyren Williams (37127832),Antonio Gibson (37127844),Tee Higgins (37127904),Courtland Sutton (37127910),Marvin Harrison Jr. (37127912),Drew Sample (37128062),Trey McBride (37128006),Bengals (37128076),50000,126.19,5.845559989882906e-07,235.8,QB +3 | 1,1,Stack: WR, TE, DST; Runback: WR
Bo Nix (37127813),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Tee Higgins (37127904),Courtland Sutton (37127910),Adam Trautman (37128020),Kendrick Bourne (37127936),Cardinals (37128078),49800,125.78,1.5922616838756392e-07,236.06,QB +2 | 2,2,Stack: WR, TE; Runback: WR, WR
Joe Burrow (37127812),Kyren Williams (37127832),James Conner (37127834),Ja'Marr Chase (37127900),Courtland Sutton (37127910),Andrei Iosivas (37127928),Colby Parkinson (37128022),Hunter Henry (37128008),Patriots (37128079),49900,126.59,3.690284018819211e-07,237.75,QB +2 | 1,1,Stack: WR, WR; Runback: WR
Bo Nix (37127813),Kyren Williams (37127832),Javonte Williams (37127840),Ja'Marr Chase (37127900),Courtland Sutton (37127910),Marvin Harrison Jr. (37127912),Hunter Henry (37128008),Tyler Higbee (37128014),Chargers (37128074),49900,128.22,1.3973746871059117e-06,256.36,QB +2 | 1,1,Stack: RB, WR; Runback: WR
Drake Maye (37127816),Kyren Williams (37127832),Antonio Gibson (37127844),Puka Nacua (37127902),Ladd McConkey (37127906),Kendrick Bourne (37127936),Hunter Henry (37128008),Trey McBride (37128006),Bengals (37128076),49800,127.22,3.928778635405147e-07,226.9,QB +3 | 1,1,Stack: RB, WR, TE; Runback: WR
Bo Nix (37127813),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Courtland Sutton (37127910),Lil'Jordan Humphrey (37127988),Hunter Henry (37128008),Trey McBride (37128006),Patriots (37128079),50000,131.06,1.379966448705156e-06,267.78,QB +2 | 1,1,Stack: WR, WR; Runback: WR
Justin Herbert (37127815),Chase Brown (37127830),J.K. Dobbins (37127836),Ladd McConkey (37127906),Courtland Sutton (37127910),Marvin Mims Jr. (37127926),Hunter Henry (37128008),Trey McBride (37128006),Bengals (37128076),49500,127.38,4.353195324183786e-06,265.2,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Kyler Murray (37127814),Chase Brown (37127830),J.K. Dobbins (37127836),Puka Nacua (37127902),Courtland Sutton (37127910),Michael Wilson (37127920),Trey McBride (37128006),Mike Gesicki (37128018),Cardinals (37128078),49800,126.92,2.5823265750379723e-06,264.92,QB +3 | 1,1,Stack: WR, TE, DST; Runback: WR
Matthew Stafford (37127817),Kyren Williams (37127832),Antonio Gibson (37127844),Puka Nacua (37127902),Tee Higgins (37127904),Kendrick Bourne (37127936),Trey McBride (37128006),Hunter Henry (37128008),Bengals (37128076),50000,126.71,6.435971730220253e-07,234.42000000000002,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Bo Nix (37127813),Chase Brown (37127830),Kyren Williams (37127832),Devaughn Vele (37127922),Andrei Iosivas (37127928),Lil'Jordan Humphrey (37127988),Trey McBride (37128006),Puka Nacua (37127902),Chargers (37128074),49800,127.66,2.9515172966201466e-07,265.66,QB +2 | 2,2,Stack: WR, WR; Runback: RB, WR
